N.Registro,Nombre,GPS.Longitud,GPS.Latitud,Fecha.Inicio (convenio),Fecha.Termino (convenio),Pais,Estado,Municipio,Dirección,Colonia,C.Postal,Rep.Legal,Telefono,Email,,,,,,,
12,Secretaria de Desarrollo Economico,-103.369488,20.673459,18-06-2015,18-06-2018,Mexico,Jalisco,Guadalajara,Calle Manuel López Cotilla #1505,Col Americana,,Jose Palacios Jimenez,,,,,,,,,
13,EPR Etzatlán,-104.082986,20.768196,03-09-2015,03-09-2018,Mexico,Jalisco,Etzatlán,Sinaloa Poniente #145,Colonia Centro,,Raul Ceja Manzo,3861000844,rceja@sems.udg.mx,,,,,,,
15,Radio Ameca de Ocidente S.A de C.V,-104.046903,20.545442,15-09-2016,15-09-2019,Mexico,Jalisco,Ameca ,Calle Juárez #84 C ,,,Salvador Llanes López,375758058 / 37575852900,contacto@lalider.com.mx,,,,,,,
16,Agronegocios Nueva Galicia,-103.396294,20.665719,23-11-2016,23-11-2019,Mexico,Jalisco,Guadalajara,Avenida Tepeyac #54,Colonia Chapalita,44500,Francisco Javier Mayorga Campos,33 3650 2723,fmayorga@agronegociosng.com,,,,,,,
17,Urenda Contadores S.C,-102.2944,19.979412,26-10-2016,26-10-2019,Mexico,Michoacan,Zamora de Hidalgo,Calle Holanda #38,Colonia los Laureles,,Andres Urenda Magaña,351 515 4048,s.luevanosurendacia@outlook.com,,,,,,,
18,Plexus Electronica S. de R.L de C.V,-103.486428,20.727358,14-11-2016,14-11-2019,Mexico,Jalisco,Zapopan,Paseo del Norte #4640 dentro del tecnology Park,,,Carlos Haro Mercado,33 3777 9700,rloya@cuestacampos.com,,,,,,,
19,Productos del Valle de San Martin Hidalgo,-103.907812,20.432074,05-09-2016,05-09-2019,Mexico,Jalisco,San Martin Hidalgo ,Solidaridad #127 en la localida deTepahuaje de Morelos,,,José Efraín Luquín Jiménez,33 1000 2896,productosdelvallemh@hotmail.com,,,,,,,
20,V&G Livs Asociados S. de R.L de C.V,-103.481838,20.713821,16-12-2016,16-12-2019,Mexico,Jalisco,Zapopan,Calle Paseo de las Bugambilias #105 Rancho Contento,,,Ivett Paola García Martín,33 38 14 26 57,ivettpaola78@gmail.com,,,,,,,
21,Seleccion de Granos Costa Sierra,-104.786253,20.52446,06-12-2016,06-12-2019,Mexico,Jalisco,Mascota,Calle Eprigmenio González #50 ,,,Arnulfo Lopez Aguilar,3883860260,pastureriaaraceli@yahoo.com.mx,,,,,,,
22,Natural Substitute de México S.A. de C.V,-103.935381,20.65733,16-12-2016,16-12-2019,Mexico,Jalisco,Ahualulco del Mercado,"Calle Rayon, San Ignacio Portes Gil #1",,,Jorge Luis Gallegos Andalon,3861006256,jl_gallegoa@outlook.com,,,,,,,
23,Despacho Contable Fiscal Amaya,-104.083461,20.764445,16-12-2016,16-12-2019,Mexico,Jalisco,Etzatlán,Calle Escobedo #249 ,Colonia Centro,,Guadalupe Janeth Amaya Ramos,386 75 3 18 66,etza_contable_fiscal@hotmail.com,,,,,,,
24,Seguridad y Alarmas de Occidente,-105.225455,20.626477,14-11-2016,14-11-2019,Mexico,Jalisco,Puerto Vallarta,Avila Camacho #3642,Colonia Cardenas,,Arcadio Fregoso Aguayo,36452048/36452098,saosa_24@hotmail.com,,,,,,,
25,Ingenieria Medica,-103.507062,20.475044,14-11-2016,14-11-2019,Mexico,Jalisco,Tlajomulco de Zuñiga,"Carretera Guadalajara - Morelia Km 23 No. 18000, Interior 22 col. Santa Cruz de las Flores.",,,Raúl Zamora Contreras,33 3796 4294,imesamex@prodigy.net.mx,,,,,,,
26,"Bebidas Mundiales S, de R.L de C.V",-100.313742,25.706799,07-12-2016,07-12-2020,Mexico,Nuevo Leon,Monterrey,Avenida Alonso Reyes Nte. #3001,Colonia Regina,64290,Guillermo Muñoz Ascencio,3757580622,adrian.ahumada@arcacontal.com,,,,,,,
27,Teja Azulejo y Ceramica de Santa Cruz de las Huertas,-103.264171,20.622711,17-05-2016,17-05-2020,Mexico,Jalisco,Tonalá,"Calle Ramón Corona pte. #84, Colonia santa Cruz de las Huertas",,,David Ramírez Jiménez,33 3681 6352,azulejosypisosdebarro@hotmail.com,,,,,,,
28,Compañia Industrial Tecolotlán S.A. De C.v,-104.040402,20.186304,05-04-2016,05-04-2020,Mexico,Jalisco,Tecolotlán,Av. Guadalajara #825,,,Roberto Santana muñoz,(349)776 0875,camisas@rangers.com.mx,,,,,,,
29,Fideicomisos Instituidos en Relación con la Agricultura (FIRA) ,-104.047474,20.546922,26-01-2016,26-01-2020,Mexico,Jalisco,Ameca,"Av. Juárez 58-A, ",Colonia Centro,46600,,375-758-1442,rgarcia@fira.gob.mx,,,,,,,
30,"Consejo de la Judicatura , del poder Judicial del Estado de Jalisco ",-103.344687,20.677467,15-06-2016,15-06-2020,Mexico,Jalisco,"Guadalajara, Jal. ","Av. Miguel Hidalgo y Costilla 190, Zona Centro, 44100 Guadalajara, Jal.",,,Dra. María Carmela Chávez Galindo ,(0133) 3001 2345,,,,,,,,
31,"Desarrollo Gestión y Servicios Profesionales, S.C. ",-103.379373,20.701002,05-01-2017,05-01-2020,Mexico,Jalisco,"Guadalajara, Jal. ","Calle Montreal 1555-1553, Providencia, 44630 Guadalajara, Jal.",,,Sr. Gustavo Antonio Duarte Valdés ,33 3070 4474,gduarte@dgsprosc.com,,,,,,,
32,Inverhoteles S.A. de C.V.,-103.415932,20.612383,02-02-2017,02-02-20,Mexico,Jalisco,"Tlaquepaque, Jal. ","Finca N° 8650 Av. Camino al ITESO, Colonia Santa María Tequepexpan , C.P. 45580 ",,,C. Juan Carlos Mondragón Castañeda ,(33)38341238,rcovarrubias@inverhoteles.com,,,,,,,
33,Hoteles Universidad de Guadalajara y Club  Deportivo ,-103.381056,20.671472,24-03-2017,24-03-2020,Mexico,Jalisco,"Ameca, Jal. ","Centro Universitario de los Valles, carretera guadalajara- Ameca km. 45.5, C.P. 46600, Ameca Jal. ",,,Mtro. José Antonio Ibarra Cervantes ,(33) 3151-4080,clubdeport.udg@gmail.com,,,,,,,
36,"Sociedad Nacional Promotora de Becarios, S.C. ",-99.15459,19.415084,06-01-2017,06-01-2020,Mexico,,"México, D.F. ","199, PISO, 4, De la Calle San Luis Potosí, Roma Norte , C.P. 06700",,,Lic. Jorge Huerta Alvarado ,55464885,dbarrera@probecarios.com,,,,,,,
37,La Valerio Camacho S.P.R. DE R.L. ,-103.868372,20.388782,03-03-2017,03-03-2020,Mexico,Jalisco,"San Martín de Hidalgo, Jal. ","20 de Noviembre, El Palo Verde, 46798 El Crucero de Santa María, Jal.",,,Sr. Jorge Camacho Becerra ,377 773 4500,lavaleriocamacho@yahoo.com.mx,,,,,,,
38,FHEGARSA S.A. DE C.V. ,-103.836436,20.884355,03-02-2017,03-02-2020,Mexico,Jalisco,"Tequila, Jal. ","Fin 97 de la calle Niños Héroes , C.P. 46400",,,Lic. Manuel García Rivera ,3747420744 ext. 104,carlostql@gmail.com,,,,,,,
39,Laboratorios LABANCLI,-104.041201,20.548352,26-05-2017,26-05-2020,Mexico,Jalisco,"Ameca, Jal. ","Finca #2 Acompañada de la letra B  de la calle Bernabe Godoy, colonia Arboledas , C.P. 46600 ",,,Q.F.B. Blanca Estela Zepeda Aguilar ,3335765168,juridico.labancli@hotmail.com.mx,,,,,,,
40,Voz Pro Salud Mental ,-103.381201,20.722486,26-06-2017,26-06-2020,Mexico,Jalisco,"Zapopan , Jal. ","Finca 531 de la calle Aurelio Ortega, Col. los Maestros , C.P. 45150. ",,,C. Sara del Carmen Valenzuela López ,3313409850,valenzuela.sara@gmail.com,,,,,,,
41,"Despacho Fiscal Contable ""El despacho"" ",-103.934701,20.435049,14-11-2017,,Mexico,Jalisco,"San Martín de Hidalgo, Jal. ","Finca # 13 acompañado de la letra C de la Calle Constitución, colonia centro, C.P. 46770",,,Dra. Ma. del Refugio López Palomar ,Movil: 3313472116                         Oficina: 3857550361,cuquis@profesores.valles.udg.mx,,,,,,,
42,El Instituto de Supervisión Avanzada y Actualización en Psicología S.C. ,-103.356321,20.673356,03-03-2017,03-03-2020,Mexico,Jalisco,"Guadalajara, Jal. ",Francisco I. Madero #729,,,Dra. Cecilia Álvarez Torres ,3337001291,ceciliaalvareztorres@yahoo.com.mx,,,,,,,
43,H. Ayuntamiento de San Martín de Hidalgo ,-103.929012,20.435679,14-11-2017,30-09-2021,Mexico,Jalisco,"San Martín de Hidalgo, Jal. ","calle Juarez #12 colonia centro, ",,,Dr. Carlos Alberto Rosas Camacho ,3336625832,sindicatura@sanmartindehidalgo.gob.mx,,,,,,,
44,Servicio de Administración Tributario / SAT ,-103.358979,20.675413,05-01-2017,05-01-2020,Mexico,Jalisco,"Guadalajara, Jal. ",Finca #976 de la Av. Juarez C.P. 44100 ,,,Mtra. Paola Esther Michel Corona ,"SAT ADUANA: 38809758                         SAT Centro 38362000 ext. 64753                 SAT Jalisco ""2"": 38362000 ext. 69719,69718                                  SAT Zapopan: 38362000 ext. 63664, 63601","SAT Aduana: ana.gollazs@sat.gob.mx                        SAT Centro : javier.ledezma@sat.gob.mx                                   SAT Jalisco ""2"": minerva.landeros@sat.gob.mx                         SAT Zapopan: ana.gonzalezs@sat.gob.mx",,,,,,,
45,El Instituto de Justicia Alternativa del Estado de Jalisco ,-103.359151,20.681255,30-09-2017,30-09-2021,Mexico,Jalisco,"Guadalajara, Jal. ","Finca# 976 de la Av. Juarez, C.P. 44100",,,"Director General, Pedro Bernardo Carvajal Maldonado/ Secretario Lic. Ignacio Alfonso Rejón Cervantes  ",33-13800000,pedro.carvajal@ija.gob.mx,,,,,,,
46,"La Procuraduría General de la Republica  ""LA PGR""",-103.347763,20.667313,04-09-2017,04-09-2020,Mexico,Jalisco,"Guadalajara, Jal. ","Av. 16  de septiembre #591, esquina con Av. La Paz , Colonia Mexicaltzingo, C.P. 44180",,,Lic. Juan José Martínez González ,33 3942 3300,,,,,,,,
47,Centro Internacional de Innovación ,-103.476156,20.713319,10-11-2017,10-11-2020,Mexico,Jalisco,"Zapopan , Jal. ","Carretera a Nogales #11556 interior 4 , C.P. 45221",,,C. Juan José Amezcua Verduzco,,,,,,,,,
48,Despacho contable y Fiscal Marin ,-104.045249,20.546267,07-12-2017,07-12-2020,Mexico,Jalisco,"Ameca, Jal. ","finca # 35 en la calle 20 de noviembre , colonia centro , C.P. 46600 ",,,Mtro. Ruben Carlos Marin Arreola ,375 7602 607,marincontadores@gmail.com ,,,,,,,
49,"Transporte , Representación y Logística, Sociedad Anonima de Capital Variable",-103.504839,20.724656,23-10-2017,23-10-2020,Mexico,Jalisco,"Zapopan , Jal. ",Carretera Guadalajara - Nogales KM. 14 en el local marcado con el umero 8 ,,,C. Sergio Hernández Rosales ,01 33 3629 6534,operaciontrl@gmail.com,,,,,,,
50,PREYCO ,-103.35029,20.657947,07-11-2017,07-11-2020,Mexico,Jalisco,"Guadalajara, Jal. ","Calzada de las Palmas No. 20 en la colonia Rincon de Agua Azul, C.P. 44467",,,C. José de Jesús Dueñas García ,37.00.15.18,direccion@preyco.com.mx,,,,,,,
51,KRYO CEROS S.A. DE S.V. ,-103.470067,20.530894,26-05-2017,26-05-2020,Mexico,Jalisco,"Tlajomulco de Zuñiga, Jal. ","Calle Sicilia #14 Colonia San Miguel Residencial , C.P.45650",,,C. Evangelina Martínez Ramirez ,3314349099,evamtz@kryocero.com,,,,,,,
52,Corporativo MB ,-103.934688,20.43506,26-05-2017,26-05-2020,Mexico,Jalisco,"San Martín de Hidalgo, Jal. ","Finca # 58 de la calle independecia , Colonia Centro. C.P. 46770",,,C. Marcos Alejandro Mendoz Buenrostro ,3857553002/3757603798,corporativo.mb@hotmail.com,,,,,,,
53,Sociedad Corporativa  de Auditorias Sociedad Civil ,-103.372574,20.667678,17-05-2017,17-05-2020,Mexico,Jalisco,"Guadalajara, Jal. ","Finca # 486 de la calle Simón Bolivar # 486 , colonia Lafayette , C.P. 44140",,,C.Sergio Ramírez Sánchez ,01 33 3615 3595,,,,,,,,
54,Díaz Haro Sociedad Civil ,-103.980728,20.702521,24-03-2017,17-03-2020,Mexico,Jalisco,"Ahualulco ,Jal. ","Finca 201 de la calle Degollado # 201 , colonia Copal, C.P. 46730 ",,,C. Joaquin Díaz Cortez ,386 75 2 05 65,joaquindiaz18@hotmail.com,,,,,,,
55,VIDANTA LOS CABOS ,-103.358958,20.675435,17-10-2017,17-10-2018,Mexico,Jalisco,"Guadalajara, Jal. ",La finca marcada con el numero 976 de la Av. Juarez C.P. 44100 ,,,C. Gabriela Mejía Zavala ,624 163 4000,atencionclientes@vidanta.com reservaciones@vidanta.com,,,,,,,
56,Baterias DINO ,-103.713001,20.655065,26-05-2017,26-05-2020,Mexico,Jalisco,"Tala, Jal. ","Finca 151B de la Av. Solidaridad, C.P. 45300",,,Ing. Dino Giovanni Vega Ramírez ,3313312778,bromeroj13@gmail.com,,,,,,,
57,Meza y Asociados Contadores Publicos ,-103.354645,20.666079,17-06-2017,17-06-2020,Mexico,Jalisco,"Guadalajara, Jal. ","finca 135 de la calle Pavo #706 colonia centro, C.P 44100",,,C. Jorge Meza Oliva ,3314151567,jmeza.73@hotmail.com,,,,,,,
58,Ruelas Gallardo García Sociedad Civil ,-103.374913,20.678216,26-05-2017,26-05-2020,Mexico,Jalisco,"Guadalajara, Jal. ","finca 115 de la calle amado nervo , colonia Ladron de Guevara ",,,C. Rogelio Gregorio García Díaz ,3317220093,lic.ruelas.10@gmail.com,,,,,,,
59,Industrias Melder ,-104.050658,20.545487,31-10-2017,31-10-2020,Mexico,Jalisco,"Ameca, Jal. ","Prolongacion Vallarta 375, colonia centro , C.P. 46600 ",,,C. Horacio Luque  Hernández ,375 758 0254,,,,,,,,
61,Cruz Roja Mexicana ,-104.031397,20.538636,26-05-2017,26-05-2020,Mexico,Jalisco,"Ameca, Jal. ","Finca 52 de la calle 12 octubre, colonia Santa Cecilia, C.P. 46610",,,C. Luis Carlos Curiel Uribe ,3757602607,rmarin.jal@cruzrojamexicana.org.mx,,,,,,,
62,Olds College,-114.092685,51.788848,17-02-2017,17-02-2020,Canada,Alberta,Canadá,"4500, 50th streer. Olds, Alberta Canadá.",,,Jason Dewling,"4,035,568,224",info@oldscollege.ca,,,,,,,
63,IJA ,-103.365362,20.672736,13-09-2017,13-09-2020,Mexico,Jalisco,Guadalajara,Calle Moscu #60  Col. Americana Guadalajara,,,Pedro Bernardo Carbajal Maldonado,380 0000 ext 101,pedro.carvajal@ija.gob.mx,,,,,,,
64,Unión Local de Productores de Caña ,-103.709629,20.650713,19-06-2017,19-06-2020,Mexico,Jalisco,"Tala, Jal. ","Finca 76 de la carretera Guadalajara- ameca, C.P. 45308 ",,,C. Serafin Hernández Campos ,3847381465,uniónlocal@hotmail.com,,,,,,,
65,Universidad de Colima,-103.700271,19.250118,14-01-2017,14-01-2020,Mexico,Colima,Colima,"Avenida Universidad número 333 colonia las Viboras, C.P 208040, en la ciudad de Colima",,,Elías Flores García,3161033 EXT. 31302,webmaster@ucol.mx,,,,,,,
66,CONTINENTAL,-103.441953,20.584909,25-05-2017,25-05-2020,Mexico,Jalisco,tlajomulco de zuñiga,la tijera #3,,,Ing. Marisol Contreras Hernandez,3318181814,hernandez@Cntinental-corporation.com,,,,,,,
67,Centro de Investigacion  y de Estudios Avanzados del I.P.N,-103.464396,20.667508,12-05-2017,12-05-2020,Mexico,Jalisco,Zapopan ,Av. del bosque #1145 el bajio,,,Dr. Pablo Moreno Villalobos,3337773600,pmoreno@gdl.cinvestav.mx,,,,,,,
68,Ingeniera Medica Especializada SA de CV,-103.507062,20.475064,08-05-2017,8-05-2020,Mexico,Jalisco,Tlajomulco de Zuñiga,Carretera Guadalajara Morelia km 23 numero 1800 int 22,,,Selmastrid Zaira Zamora Tapia,331687314,selmazamora@imesamex.com,,,,,,,
69,Escuela preparatoria Regional de Amatitan ,-103.73634,20.830498,24-03-2017,24-03-2020,Mexico,Jalisco,Amatitan ,López Mateos No.167,,,Celia Margarita Castañeda,,celia.margarita@redudg.udg.mx,,,,,,,
70,Escuela Preparatoria Regional de Tequila,-103.840143,20.891741,10-05-2017,10-05-2020,Mexico,Jalisco,Tequila ,San Martin 175,,,Alberto Gutierrez Gomez,3747420686,a_gutierrz@sems.udg.mx,,,,,,,
71,Impulsora de Comunidades Autosustentables,-103.396279,20.665751,17-06-2017,16-06-2020,Mexico,Jalisco,Guadalajara,Av. Tepeyac 54 1er piso Col. Campo polo Chapalita,,,Pilar Perez Jimenez,3311654356,teresamayorga@yahoo.com.mx,,,,,,,
72,Agroservicios Nacionales SAPI de CV,-103.380001,20.658073,08-05-2017,8-05-2020,Mexico,Jalisco,Guadalajara,Nance 1545 del fresno ,,,Nancy Solano Jimenez,37930390 Ext 1146,nancy.solano@ansa.cc,,,,,,,
73,Empresa Gelpharma ,-103.442314,20.688323,27-04-2018,27-04-2021,Mexico,Jalisco,Zapopan Jalisco,"Calle Madero No. 5908, Col. Jocotan Zapopan Jalisco",,,Gilberto Lozano Valdivia,33 3777 4770,talentohumano2gelpharma.com,,,,,,,
74,BECCAR ,-103.055965,20.623377,13-09-2018,13-09-2021,,,Zapotlanejo Jalisco,"Morelos No. 574, Col. Santa Cecilia. C.P. $5430 Zapotlanejo, jalisco",,,Javier Becerra Torres ,(373) 735-6030,manuel.becerra@beccar.com.mx,,,,,,,
75,Notaria Publica No. 1 de Acatlan De Juárez,-103.59163,20.424745,29-10-2018,29-10-2021,,,Acatlan de Juárez,"Calle Cuitláhuac #15 Colonia Centro, C.P. 45700 Acatlan de Juarez Jalisco",,,Gerardo Hinojosa Zepeda,3872221222,notaria1acatlan@telmexmail.com,,,,,,,
76,Grupo Rural de Apicultures del valle de ahualulco ,-103.962275,20.697197,29-10-2018,29-10-2021,,,Ahualulco del Mecado,"Prolongacion Juárez #6 Ahualulco del Mercado, Jalisco C.P. 46730",,,Carlos Alejandro López Carrillo,(386)-752-2528,soporte@valledeahualulco.com,,,,,,,
77,Led Concept ,-103.365382,20.679896,18-10-2018,18-10-2021,,,Guadalajara Jalisco,"Calle Reforma #1276 Colonia Rojas Ladrón de Guevara, C.P 44650 Guadalajara Jalisco",,,Irving Gillermo Garcia Ramirez,(33) 3825 7230,servicio@ledconcept.com.mx,,,,,,,
78,Bombas Mejoradas,-103.366783,20.645072,08-10-2018,08-10-2021,,,Guadalajara Jalisco,"Calle 4 no. 2368 entre la calle 1 y 3 de la zona industrial, C.P 44940 guadalajara Jalisco",,,Xóchitl Flores Pelayo,33 3811 8517,,,,,,,,
80,Destiladora Agave Azul ,-104.009627,20.784019,11-12-2018,11-12-2021,,,San Juanito Escobedo Jalisco,Cuauhtémoc No. 1000 ol. VistaHermosa C.P. 46560 San Juanito Escobedo Jalisco,,,José de Jesus Garcia Garcia,38675407705,zgomez@destiladoraagaveazul.com,,,,,,,
81,Despacho Contable,-103.978183,20.701981,29-10-2018,29-10-2021,,,Ahualulco del Mecado,Calle Guillermo Prieto #24 colonia centro Ahualulco del Mercado,,,L.C.P Y M.I Miguel Angel Bayardo Tiznado,3331562802,Bayardo_tiznado_asociados@hotmail.com,,,,,,,
82,Centro Educativo de San Juanito Escobedo,-104.001066,20.800314,10-01-2018,10-01-2021,,,San Juanito Escobedo Jalisco,Calle juárez No. 32 Col Centro San Juanito Escobedo,,,Juan Guillermo Covarrubias Rentería,,,,,,,,,
83,ENERI,-103.37979,20.673488,14-03-2018,14-03-2021,,,Guadalajara Jalisco,"López Cotilla No. 2032 piso 8, Colonia Arcos Vallarta, Guadalajara Jalisco",,,Rafael Martinez Fuentes,(33) 5351 6257,info@eneri.com.mx,,,,,,,
84,Su Pollo ,-103.404709,20.65311,17-02-2018,17-02-2021,,,Zapopan Jalisco,"Coyoacán 1495 acompañada de la letra B, Colonia Ferrocarril, C.P 44440 Zapopan Jalisco",,,Mario Mireles Pérez,3337491521,dramirez@supollo.com.mx,,,,,,,
85,Maquinaria y Equipos de Tepatitlan ,-102.843394,20.745385,SF,SF,,,Tepatitlan Jalisco,Carretera Zapotlanejo-Lagos de Moreno km. 27.5 C.P 47600 ,,,Patricia Iñiguez Orozco,378 715 2188,patricia.iñiguez@maquinariatepa.com,,,,,,,
86,Estructuras Orion,-103.383572,20.693003,SF,SF,,,Guadalajara Jalisco,"Calle Ostia No. 2782, col Providencia, C.P. 44630 Guadalajara jalisco",,,José Domingo Uriarte Parra,36418812- 3336418812,tania.campos@grupoaceroyconcreto.com,,,,,,,
87,Estrubra Constructora,-103.408573,20.671441,30-01-2018,30-01-2021,,,Zapopan Jalisco,"Calle Cerro del Collí 1399, Colonia Jardines de San Ignacio, Zapopan Jalisco",,,Emmanuel Aguilar Cuenca ,331-601-8140  333-144-0205,a.e_prisscuenca@auditores.com  prisma@aeconsultores.com,,,,,,,
88,Donber Equipos Industriales ,-103.449593,20.644788,15-02-2018,15-02-2021,,,Zapopan Jalisco,"Calle Eucalípto No. 862 Colonia Paraísos del Collí, C.P 45069 Zapopan Jalisco",,,Leonardo Suarez López,31808313 / 10286597,ventasdonber@donber.com.mx,,,,,,,
89,Agavera Orendain,-103.989023,20.912258,15-02-2018,15-02-2021,,,Magdalena Jalisco,"Avenida Hidalgo en la Finca Marada con el numero 450, C.P 46470 en Magdalena Jalisco",,,Guillermo Javier Orendain González,,tequilamarengo@hotmail.com,,,,,,,
90,FORMFLEX,-103.456041,20.682342,28-05-2018,28-052021,,,Zapopan Jalisco,Colonia Vallarta Parque Industrial en Periferico Poniente No. 7301 en Zapopan jalisco,,,Federico Boyer Ramirez,4448403574,director.operaciones@formflex.com.mx,,,,,,,
91,Despacho Juridico Lepe & Lepe,-104.0494,20.200377,18-06-2018,18-06-2021,,,Tecolotlán Jalisco,Calle Leona Vicario No.64 Colonia Centro Tecolotlan Jalisco,,,Carlos Ruben Lepe Lepe,3757503525,crlepe@hotmail.com,,,,,,,
92,MEXIQUITO,-103.820343,20.364157,07-02-2018,07-02-2021,,,Cocula Jalisco,"Calle Román Terán No. 137, Col. Centro, CP 48500 Cocula Jalisco",,,Ana Yadira Preciado Camacho,3751047907,estanciamexiquito@hotmail.com,,,,,,,
93,Kapital Financiera,-103.420345,20.678414,22-01-2018,22-01-2021,,,Zapopan Jalisco,"Finca con el numero 4983 acompañado de la letra A de la calle Avenida Vallarta, Col. Prados Vallarta, CP 45020 Zapopan jalisco",,,Hugo Raúl Blum Casillas,3323498993,c.hernandez@kapitalfinanciera.com,,,,,,,
94,Colegio de Contadores Públicos de Guadalajara Jalisco,-103.429299,20.681872,10-04-2018,10-04-2021,,,Zapopan Jalisco,Calle Oscar Wilde No.5561 Col. Jardines Vallarta C.P. 45020 Zapopan Jalisco,,,Margarita Medrano Hernandez,36297445,direccionejecutiva@ccpg.org.mx,,,,,,,
95,Hacienda de Oro Tequila,-103.736131,20.83522,10-01-2018,10-01-2021,,,Amatitan Jalisco,"KM 43-a, Colonia el mirador CP 45380 Amatitan Jalisco",,,David Partida Zuñiga,374 745 0759,xtinaog@hotmail.com,,,,,,,
96,Hacienda del Carmen Hotel & Spa,-103.91195,20.656528,22-01-2018,22-01-2021,,,Ahualulco del Mecado,"Ramón Díaz Ordaz #2-1 el carmen, Ahualulco del Mercado Jal.",,,Monica Baeza Serrano,3867524215,adrianamoya@hdaelcarmen.com,,,,,,,
97,NEWBAUER ,-103.337521,19.672182,20-09-2018,20-09-2021,,,Zapoltiltic,CARRETERA LIBRE SAHUAYO-COLIMA K.M.102.86,,,Mauricio Avila Aviles,(341 )341-111-6893,mavila@newbauerchemicals.com,,,,,,,
98,Manitas Mágicas,-104.047336,20.54481,28-05-2018,28-05-2021,,,Ameca Jalisco,"Calle General Julio Garcia Poniente No. 15 y 13, Col. Centro CP 46600 Ameca jalisco",,,Alejandra Bernal Gómez ,,aleja_bg@hotmail.com,,,,,,,
99,Ingenio de Tala,-103.719308,20.668556,03 de mayo 2018,03 de mayo 2021,Mexico,Jalisco,Tala Jalisco,KM 46 Carretera Guadalajara- Puerto Vallarta sin numero C.P. 45300 Tala Jalisco,Revolución,45330,Joaquin Rivera Meza,3847381465,unionlocal@hotmail.com,,,,,,,
100,C.I.G Abogados y Fiscalistas,-103.449924,20.692967,12 de noviembre 2018,12 de noviembre 2021,Mexico,Jalisco,Zapopan Jalisco,"Av. del Tule #713 entre Av. Vallarta y Av. Inglaterra Puertas del Tule, Zapopan Jal. C.P. 45017",Puertas del Tule,45017,Luis Francisco chavarin Muñoz ,36150270,fiscalchavira@outlook.es,,,,,,,
101,Despacho Arreola,-104.04365,20.546007,12 de noviembre 2018,12 de noviembre 2021,Mexico,Jalisco,Ameca Jalisco,"Calle Matamoros #55 Col. Centro Ameca Jal, C.P. 46600",Centro,46600,Blanca Ofelia Arreola Díaz,01 (375) 7586 301,despachoarreola@live.com.mx,,,,,,,
